12.300000	,5.434598	,-2.185367	,0.127212
12.391000	,5.488666	,-2.210369	,0.127408
12.479000	,5.542352	,-2.232698	,0.121481
12.600000	,5.637330	,-2.274088	,0.116426
12.687000	,5.691494	,-2.298401	,0.115257
12.783000	,5.759717	,-2.327697	,0.115350
12.860000	,5.814726	,-2.351780	,0.116808
12.999000	,5.899650	,-2.387362	,0.120595
13.100000	,5.987696	,-2.426024	,0.126454
13.162000	,6.033840	,-2.445296	,0.128876
13.299000	,6.128556	,-2.486637	,0.133222
13.400000	,6.226239	,-2.527345	,0.136019
13.465000	,6.275146	,-2.548417	,0.136753
13.598000	,6.371326	,-2.590023	,0.138328
13.700000	,6.464764	,-2.631100	,0.139053
13.762000	,6.510690	,-2.650772	,0.138967
13.894000	,6.599845	,-2.690394	,0.138693
13.986000	,6.672784	,-2.721401	,0.137281
14.060000	,6.729227	,-2.747641	,0.137364
14.190000	,6.812689	,-2.784235	,0.132933
14.286000	,6.880431	,-2.814692	,0.130977
14.360000	,6.933569	,-2.840113	,0.125411
14.493000	,7.014414	,-2.875781	,0.120644
14.600000	,7.094489	,-2.913427	,0.117349
14.661000	,7.134729	,-2.931927	,0.115895
14.754000	,7.188247	,-2.956504	,0.115034
14.880000	,7.283228	,-2.999560	,0.117392
14.969000	,7.338632	,-3.025280	,0.119831
15.065000	,7.410631	,-3.057393	,0.124476
15.185000	,7.500962	,-3.098764	,0.129566
15.281000	,7.579641	,-3.134289	,0.133070
15.360000	,7.643823	,-3.163452	,0.134908
15.499000	,7.733916	,-3.203369	,0.139265
15.600000	,7.813262	,-3.241593	,0.135654
15.660000	,7.850357	,-3.260421	,0.137678
15.796000	,7.920202	,-3.292631	,0.137961
15.900000	,7.982733	,-3.325344	,0.139557
15.959000	,8.002774	,-3.333982	,0.140021
16.080000	,8.065188	,-3.366989	,0.137588
16.164000	,8.098246	,-3.383149	,0.139146
16.256000	,8.128381	,-3.396042	,0.141432
16.380000	,8.173103	,-3.423910	,0.136765
16.468000	,8.197899	,-3.434944	,0.139878
16.564000	,8.224344	,-3.446025	,0.141127
16.684000	,8.248540	,-3.462107	,0.138961
16.772000	,8.262505	,-3.472408	,0.138800
16.900000	,8.286616	,-3.486988	,0.138107
16.988000	,8.299021	,-3.492645	,0.139279
17.080000	,8.309645	,-3.500679	,0.141106
17.160000	,8.314478	,-3.506295	,0.140454
17.299000	,8.318392	,-3.508525	,0.141342
17.400000	,8.317306	,-3.506746	,0.141247
17.463000	,8.314454	,-3.505813	,0.141244
17.595000	,8.306691	,-3.501076	,0.140803
17.683000	,8.297968	,-3.496583	,0.140123
17.760000	,8.289897	,-3.493305	,0.139038
17.894000	,8.276984	,-3.488905	,0.137236
17.987000	,8.266851	,-3.484683	,0.135874
18.060000	,8.260230	,-3.480192	,0.134597
18.199000	,8.252035	,-3.475225	,0.134457
18.300000	,8.244990	,-3.473633	,0.135519
18.363000	,8.242781	,-3.472128	,0.135803
18.498000	,8.239879	,-3.469755	,0.136639
18.600000	,8.238604	,-3.468402	,0.137699
18.663000	,8.238136	,-3.468128	,0.138613
18.754000	,8.237311	,-3.468107	,0.139381
18.880000	,8.235197	,-3.466730	,0.140403
18.966000	,8.232885	,-3.465823	,0.140723
19.098000	,8.228110	,-3.463400	,0.140914
19.200000	,8.221611	,-3.460343	,0.140817
19.265000	,8.217799	,-3.458677	,0.140577
19.358000	,8.212097	,-3.456671	,0.140071
19.480000	,8.201091	,-3.453366	,0.139060
19.570000	,8.194660	,-3.451321	,0.138577
19.658000	,8.188358	,-3.449133	,0.138171
19.780000	,8.178226	,-3.444830	,0.137637
19.870000	,8.173162	,-3.442324	,0.137427
19.957000	,8.168650	,-3.440114	,0.137328
20.080000	,8.162185	,-3.437003	,0.137553
20.169000	,8.159214	,-3.435597	,0.137896
20.261000	,8.155986	,-3.434094	,0.138443
20.381000	,8.152396	,-3.432420	,0.139099
20.469000	,8.149910	,-3.431262	,0.139450
20.561000	,8.146466	,-3.429648	,0.139734
20.681000	,8.141624	,-3.427369	,0.139818
20.769000	,8.137911	,-3.425630	,0.139745
20.857000	,8.133829	,-3.423733	,0.139594
20.980000	,8.126011	,-3.420084	,0.139181
21.064000	,8.121322	,-3.417893	,0.138886
21.160000	,8.115469	,-3.415087	,0.138505
21.280000	,8.108679	,-3.411918	,0.138167
21.368000	,8.104457	,-3.409963	,0.138032
21.500000	,8.097823	,-3.406877	,0.138043
21.580000	,8.094441	,-3.405297	,0.138188
21.664000	,8.091292	,-3.403801	,0.138410
21.756000	,8.088277	,-3.402374	,0.138659
21.880000	,8.083041	,-3.399894	,0.139055
